me_gusta,Marca,Categoria,Subcategoria
1,Arcor,Almacen,Mermeladas y Jaleas
1,Babysec,Perfumeria,Pañales
1,Huggies,Perfumeria,Pañales
1,Nestle,Frescos,Leches
1,Dove,Perfumeria,Cuidado e Higiene Personal
1,La Serenisima,Almacen,Dulce de Leche
1,Ilolay,Almacen,Leche en Polvo
1,Sancor,Frescos,Crema de Leche
1,Okebon,Almacen,Galletas
1,Carol,Bazar,Cubiertos
1,Nucete,Almacen,Encurtidos
1,Ala,Limpieza,Limpieza de Ropa
1,Poett,Limpieza,Limpieza de Ropa
0,Arcor,Almacen,Conservas
0,Pedigree,Almacen,Alimentos para Mascotas
0,Celusal,Almacen,Condimentos
0,Aguila,Almacen,Repostería
0,Pringles,Almacen,Snack
0,Plusbelle,Perfumeria,Cuidado e Higiene Personal
0,Nihuil,Bebidas,Agua
0,Cinzano,Bebidas,Espumantes
0,Rutini,Bebidas,Vinos
0,Sedal,Perfumeria,Cuidado e Higiene Cabello
0,Rigolleau,Bazar,Vidrio Cocina Accesorios
0,Nutrilon,Almacen,Leche en Polvo
0,Tresemme,Perfumeria,Cuidado e Higiene Cabello
0,Colgate,Perfumeria,Cuidado e Higiene Bucal
0,Actimel,Frescos,Yogures
1,Milka,Almacen,Golosinas
1,Nutrilon,Frescos,Leches
0,Nivea,Perfumeria,Cremas y Emulsiones
1,Comfort,Limpieza,Limpieza de Ropa
1,La Serenisima,Frescos,Leches
0,Silk,Frescos,Leches
0,Skip,Limpieza,Limpieza de Ropa
